"pitcherid","pitcher","pitch_type","p_throws","rockies","hb","ivb","velo","spin","nPitches"
571760,"Andrew Heaney","FF","L","Other",15.7924027459954,13.9798627002288,91.5659801678108,2402.06788710908,1311
571760,"Andrew Heaney","SI","L","Other",17.8389473684211,8.24210526315789,92.2131578947368,2408.10526315789,38
571760,"Andrew Heaney","SL","L","COL",-2.66,-0.246666666666667,82.6833333333333,2503.22222222222,18
571760,"Andrew Heaney","SL","L","Other",-2.33094339622642,1.23816711590297,82.5105121293801,2512.85040431267,742
571927,"Steven Matz","CH","L","COL",10.92,1.26,83.3,2353,4
571927,"Steven Matz","CH","L","Other",14.7492631578947,0.589263157894737,83.3242105263158,2318.74210526316,190
571927,"Steven Matz","CU","L","COL",-10.44,-7.08,76.9,2276,1
571927,"Steven Matz","CU","L","Other",-13.4207142857143,-7.67357142857143,77.6053571428571,2250.08928571429,56
571927,"Steven Matz","SI","L","COL",11.724,9.726,94.225,2260.1,20
571927,"Steven Matz","SI","L","Other",15.2500232018561,11.7825522041763,93.8728538283063,2195.03016241299,431
571927,"Steven Matz","SL","L","COL",-2.94,2.16,86.85,2132.5,2
571927,"Steven Matz","SL","L","Other",0.0552,5.04,88.196,2117.36,50
572020,"James Paxton","CH","L","COL",10.44,4.395,82.625,2071.75,8
572020,"James Paxton","CH","L","Other",14.1334615384615,9.36115384615385,82.5721153846154,1989.18269230769,104
572020,"James Paxton","FC","L","Other",-1.69811320754717,2.59471698113208,84.0264150943396,1959.71698113208,53
572020,"James Paxton","FF","L","COL",8.37381818181818,10.7389090909091,93.3381818181818,2123.34545454545,55
572020,"James Paxton","FF","L","Other",10.6859593679458,13.9904288939052,93.1762979683973,2086.36681715576,886
572020,"James Paxton","KC","L","COL",-0.437142857142857,-3.59571428571429,81.2857142857143,1970.46428571429,28
572020,"James Paxton","KC","L","Other",-1.10601226993865,-4.83312883435583,80.7914110429448,1936.44376278119,489
572020,"James Paxton","SI","L","Other",14.4225882352941,9.67341176470588,92.7788235294118,2058.77647058824,85
572955,"Pierce Johnson","CU","R","COL",8.12142857142857,-4.25571428571429,85.0535714285714,2993.64285714286,28
572955,"Pierce Johnson","CU","R","Other",9.85815286624204,-4.51566878980892,85.3883757961783,2979.86305732484,628
572955,"Pierce Johnson","FC","R","COL",-2.4,5.52,91.6,2484,1
572955,"Pierce Johnson","FC","R","Other",0.205263157894737,9.5778947368421,92.05,2602.63157894737,38
572955,"Pierce Johnson","FF","R","COL",-7.89,13.11,95.6,2319.75,8
572955,"Pierce Johnson","FF","R","Other",-10.4591549295775,15.9938028169014,95.456338028169,2329.16901408451,213
572971,"Dallas Keuchel","CH","L","COL",11.3490909090909,5.30545454545455,81.0424242424242,1740.57575757576,33
572971,"Dallas Keuchel","CH","L","Other",13.6753846153846,3.99230769230769,81.1807692307692,1685.15384615385,52
572971,"Dallas Keuchel","FC","L","COL",-3.10285714285714,5.50285714285714,84.2,2340.28571428571,7
572971,"Dallas Keuchel","FC","L","Other",-2.76631578947368,6.42947368421053,84.6368421052632,2315.76315789474,38
572971,"Dallas Keuchel","SI","L","COL",12.6833333333333,6.55,87.9777777777778,2110.83333333333,36
572971,"Dallas Keuchel","SI","L","Other",14.3637410071942,5.38964028776978,88.1798561151079,2022.41726618705,139
572971,"Dallas Keuchel","SL","L","COL",-4.38,1.92,78.4,2585,2
572971,"Dallas Keuchel","SL","L","Other",-7.08,-3.12,78.9,2476,1
592351,"Jon Gray","CH","R","Other",-14.2153043478261,6.70121739130435,88.6791304347826,1517.26086956522,115
592351,"Jon Gray","CU","R","COL",6.48,-2.7,79.65,2311,2
592351,"Jon Gray","CU","R","Other",7.56666666666667,-5.45166666666667,78.8277777777778,2385.90277777778,72
592351,"Jon Gray","FF","R","COL",-7.73052631578947,11.2831578947368,94.0447368421053,2006.44736842105,38
592351,"Jon Gray","FF","R","Other",-10.40357771261,13.5643988269795,94.9293255131965,2030.2991202346,682
592351,"Jon Gray","SL","R","COL",1.7808,4.3392,87.848,2246.7,50
592351,"Jon Gray","SL","R","Other",1.80090771558245,5.44157337367625,88.7034795763994,2307.70650529501,661
592426,"Luke Jackson","CU","R","COL",2.89411764705882,-10.3764705882353,84.6352941176471,2472.52941176471,17
592426,"Luke Jackson","CU","R","Other",3.49152,-12.06336,84.6464,2395.048,125
592426,"Luke Jackson","FC","R","Other",2.01,8.82,90.575,2285.75,8
592426,"Luke Jackson","FF","R","COL",-3.40666666666667,14.8666666666667,94.6333333333333,2370.33333333333,18
592426,"Luke Jackson","FF","R","Other",-5.23252747252747,18.1283516483517,94.6915750915751,2289.88644688645,273
592426,"Luke Jackson","SL","R","COL",0.168888888888889,-4.24888888888889,87.1777777777778,2293.07407407407,27
